,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,lam_MB,lam_MD,lam_MS,lam_diff,lam_diffn_dilutions,method,mu_DNs,mu_DPs,mu_MN,mu_MP,mu_PN,mu_PP,n_dilutions,n_div
157,157,157,157,157,0,1e-12,1e-12,1e-09,0.042036399,0,diff_select,1.5,0.75,1.5,0.75,1.5,1.5,118,4
158,158,158,158,158,0,1e-12,1e-12,1e-12,0.042036399,0,diff_select,1.5,0.75,1.5,0.75,1.5,1.5,118,4
159,159,159,159,159,0,1e-12,1e-12,0.0,0.042036399,0,diff_select,1.5,0.75,1.5,0.75,1.5,1.5,118,4
160,160,160,160,160,0,0.001,0.001,0.001,0.1,0,diff_select,1.5,0.15,1.5,0.15,1.5,1.5,9,4
161,161,161,161,161,0,0.001,0.001,1e-06,0.1,0,diff_select,1.5,0.15,1.5,0.15,1.5,1.5,9,4
162,162,162,162,162,0,0.001,0.001,1e-09,0.1,0,diff_select,1.5,0.15,1.5,0.15,1.5,1.5,9,4
163,163,163,163,163,0,0.001,0.001,1e-12,0.1,0,diff_select,1.5,0.15,1.5,0.15,1.5,1.5,9,4
164,164,164,164,164,0,0.001,0.001,0.0,0.1,0,diff_select,1.5,0.15,1.5,0.15,1.5,1.5,9,4
165,165,165,165,165,0,0.001,1e-06,0.001,0.070347315,0,diff_select,1.5,0.15,1.5,0.15,1.5,1.5,25,4
166,166,166,166,166,0,0.001,1e-06,1e-06,0.1,0,diff_select,1.5,0.15,1.5,0.15,1.5,1.5,24,4
167,167,167,167,167,0,0.001,1e-06,1e-09,0.1,0,diff_select,1.5,0.15,1.5,0.15,1.5,1.5,24,4
168,168,168,168,168,0,0.001,1e-06,1e-12,0.1,0,diff_select,1.5,0.15,1.5,0.15,1.5,1.5,24,4
169,169,169,169,169,0,0.001,1e-06,0.0,0.1,0,diff_select,1.5,0.15,1.5,0.15,1.5,1.5,24,4
170,170,170,170,170,0,0.001,1e-09,0.001,0.070347315,0,diff_select,1.5,0.15,1.5,0.15,1.5,1.5,26,4
171,171,171,171,171,0,0.001,1e-09,1e-06,0.071061163,0,diff_select,1.5,0.15,1.5,0.15,1.5,1.5,43,4
172,172,172,172,172,0,0.001,1e-09,1e-09,0.076416152,0,diff_select,1.5,0.15,1.5,0.15,1.5,1.5,46,4
173,173,173,173,173,0,0.001,1e-09,1e-12,0.076416152,0,diff_select,1.5,0.15,1.5,0.15,1.5,1.5,46,4
174,174,174,174,174,0,0.001,1e-09,0.0,0.076416152,0,diff_select,1.5,0.15,1.5,0.15,1.5,1.5,46,4
175,175,175,175,175,0,0.001,1e-12,0.001,0.070347315,0,diff_select,1.5,0.15,1.5,0.15,1.5,1.5,26,4
176,176,176,176,176,0,0.001,1e-12,1e-06,0.074937033,0,diff_select,1.5,0.15,1.5,0.15,1.5,1.5,44,4
