,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,lam_MB,lam_MD,lam_MS,lam_diff,lam_diffn_dilutions,method,mu_DNs,mu_DPs,mu_MN,mu_MP,mu_PN,mu_PP,n_dilutions,n_div
152,152,152,0,1e-12,1e-09,1e-09,0.040111501,0,diff_select,1.5,0.75,1.5,0.75,1.5,1.5,86,8
153,153,153,0,1e-12,1e-09,1e-12,0.040111501,0,diff_select,1.5,0.75,1.5,0.75,1.5,1.5,86,8
154,154,154,0,1e-12,1e-09,0.0,0.040111501,0,diff_select,1.5,0.75,1.5,0.75,1.5,1.5,86,8
155,155,155,0,1e-12,1e-12,0.001,0.039894635,0,diff_select,1.5,0.75,1.5,0.75,1.5,1.5,126,8
156,156,156,0,1e-12,1e-12,1e-06,0.039894635,0,diff_select,1.5,0.75,1.5,0.75,1.5,1.5,126,8
157,157,157,0,1e-12,1e-12,1e-09,0.039894635,0,diff_select,1.5,0.75,1.5,0.75,1.5,1.5,126,8
158,158,158,0,1e-12,1e-12,1e-12,0.039894635,0,diff_select,1.5,0.75,1.5,0.75,1.5,1.5,126,8
159,159,159,0,1e-12,1e-12,0.0,0.039894635,0,diff_select,1.5,0.75,1.5,0.75,1.5,1.5,126,8
160,160,160,0,0.001,0.001,0.001,0.1,0,diff_select,1.5,0.15,1.5,0.15,1.5,1.5,9,8
161,161,161,0,0.001,0.001,1e-06,0.1,0,diff_select,1.5,0.15,1.5,0.15,1.5,1.5,9,8
162,162,162,0,0.001,0.001,1e-09,0.1,0,diff_select,1.5,0.15,1.5,0.15,1.5,1.5,9,8
163,163,163,0,0.001,0.001,1e-12,0.1,0,diff_select,1.5,0.15,1.5,0.15,1.5,1.5,9,8
164,164,164,0,0.001,0.001,0.0,0.1,0,diff_select,1.5,0.15,1.5,0.15,1.5,1.5,9,8
165,165,165,0,0.001,1e-06,0.001,0.075012398,0,diff_select,1.5,0.15,1.5,0.15,1.5,1.5,23,8
